geoid,total_pop,no_car
17031630200,2251,154
17031630300,5315,355
17031630400,6740,183
17031630500,5882,470
17031630800,6512,264
17031630900,5083,364
17031640100,1283,139
17031640300,7042,224
17031640400,3125,114
17031640500,3555,177
17031640600,4167,387
17031640700,3230,136
17031640800,1663,42
17031650100,5122,322
17031650200,6960,542
17031650301,5570,413
17031650302,4036,56
17031650400,6301,174
17031650500,4709,271
17031660301,1556,327
17031660302,5437,756
17031660400,5543,555
17031660500,4841,441
17031660600,6049,1677
17031660700,2123,380
17031660800,6134,1135
17031660900,4826,979
17031661000,5657,808
17031661100,5961,400
17031670100,1372,280
17031670200,1511,683
17031670300,1565,424
17031670400,3658,543
17031670500,1099,325
17031670600,1575,377
17031670700,1697,488
17031670800,1831,455
17031670900,1534,378
17031671100,1328,519
17031671200,1376,249
17031671300,3146,897
17031671400,1623,315
17031671500,3665,747
17031671600,2716,943
17031671800,1137,269
17031671900,1288,151
17031672000,4143,702
17031680500,1623,703
17031680600,1516,603
17031680900,3960,1759
17031681000,3501,1266
17031681100,4028,1354
17031681200,3228,1437
17031681300,3241,1134
17031681400,3252,1165
17031690300,2157,652
17031690400,3688,1175
17031690500,1495,379
17031690900,4502,1308
17031691000,2616,621
17031691100,3827,1204
17031691200,2237,691
17031691300,2893,315
17031691400,3512,724
17031691500,2123,643
17031700100,3370,199
17031700200,6539,391
17031700301,5376,74
17031700302,5635,94
17031700401,6416,147
17031700402,4229,123
17031700501,7907,702
17031700502,2910,173
17031710100,1345,842
17031710200,6053,1463
17031710300,1758,254
17031710400,6018,1279
17031710500,4573,1539
17031710600,2343,984
17031710700,3504,877
17031710800,5112,1256
17031710900,2616,500
17031711000,3648,694
17031711100,3754,894
17031711200,5168,640
17031711300,1640,303
17031711400,2390,403
17031711500,3079,286
17031720100,4093,14
17031720200,4455,366
17031720300,3759,99
17031720400,2299,16
17031720500,2098,83
17031720600,1834,22
17031720700,3018,192
17031730100,2702,186
17031730201,5984,1275
17031730202,3642,272
17031730300,1443,167
17031730400,3557,477
17031730500,4569,720
17031730600,3725,425
17031730700,2021,72
17031740100,2859,82
17031740200,6400,146
17031740300,4639,137
17031740400,4599,113
17031750100,4360,369
17031750200,2616,158
17031750300,2652,68
17031750400,3159,164
17031750500,4950,390
17031750600,3977,368
17031760801,3266,431
17031760802,2379,91
17031760803,6203,387
17031770201,5680,516
17031770202,5200,112
17031770300,6967,74
17031770400,4569,106
17031770500,4429,68
17031770601,3257,114
17031770602,5284,609
17031770700,2501,94
17031770800,5843,156
17031770901,4825,274
17031770902,3537,155
17031800100,2532,11
17031800200,6116,40
17031800300,3334,97
17031800400,3924,12
17031800500,4809,0
17031800600,2387,0
17031800700,5112,86
17031800800,2256,75
17031800900,4318,34
17031801000,4742,120
17031801100,4745,81
17031801200,3830,51
17031801300,4102,111
17031801400,2820,42
17031801500,5952,136
17031801601,4072,104
17031801603,4103,110
17031801605,5793,37
17031801606,6028,29
17031801607,5226,80
17031801608,5979,288
17031801701,4014,50
17031801702,4620,50
17031801800,5371,62
17031801901,4241,93
17031801902,2981,8
17031802002,5095,41
17031802003,2598,78
17031802004,5324,79
17031802100,3368,70
17031802200,3983,62
17031802300,5078,263
17031802402,4231,259
17031802403,1443,59
17031802404,7119,243
17031802503,5839,145
17031802504,6989,73
17031802505,6448,182
17031802506,2853,30
17031802605,6826,159
17031802607,1422,12
17031802608,6066,162
17031802609,6583,80
17031802610,1610,0
17031802701,6581,122
17031802702,4706,270
17031802801,4640,167
17031802802,6453,196
17031802900,6164,62
17031803005,2500,119
17031803007,5370,20
17031803008,4824,23
17031803010,4941,31
17031803012,2329,134
17031803013,5343,125
17031803014,3835,186
17031803015,4536,119
17031803016,1928,35
17031803017,5591,77
17031803100,3402,10
17031803200,5982,206
17031803300,5497,532
17031803400,6461,153
17031803500,5638,252
17031803603,6740,0
17031803604,3995,76
17031803605,7194,164
17031803606,7843,143
17031803607,4913,82
17031803608,7674,160
17031803610,7570,151
17031803611,5879,126
17031803612,3640,0
17031803701,2372,16
17031803702,6265,207
17031803800,4594,130
17031803901,3406,144
17031803902,3732,52
17031804000,4691,137
17031804102,7087,34
17031804104,4958,16
17031804105,4001,114
17031804106,6772,51
17031804108,3900,437
17031804109,2742,55
17031804201,7564,109
17031804202,7638,74
17031804305,7179,31
17031804306,5074,27
17031804308,5130,34
17031804309,3184,0
17031804310,8550,0
17031804311,7614,10
17031804403,6209,32
17031804404,5329,0
17031804405,3506,120
17031804406,6023,44
17031804505,3508,81
17031804506,5273,35
17031804507,11459,317
17031804508,2380,120
17031804509,6406,45
17031804510,6454,547
17031804511,2122,44
17031804603,5146,191
17031804606,6894,27
17031804607,7277,224
17031804608,3583,44
17031804609,5849,134
17031804610,2519,62
17031804611,4579,203
17031804701,6228,498
17031804705,3993,10
17031804706,2423,63
17031804709,6907,430
17031804710,4524,172
17031804711,7044,167
17031804712,5682,0
17031804713,4404,138
17031804714,3520,130
17031804715,3769,250
17031804716,5094,58
17031804803,5513,136
17031804804,6618,137
17031804805,7036,187
17031804806,3733,93
17031804807,4992,318
17031804808,2379,0
17031804809,4096,50
17031804810,6736,115
17031804901,6733,89
17031804902,5353,88
17031805001,4711,92
17031805002,6704,249
17031805105,7340,383
17031805106,2681,50
17031805107,6193,251
17031805108,6688,540
17031805109,4263,386
17031805110,4155,190
17031805111,7648,233
17031805112,2956,252
17031805201,3250,0
17031805202,3903,36
17031805301,3421,31
17031805302,3408,7
17031805401,4183,87
17031805402,5085,231
17031805501,3224,142
17031805502,3529,114
17031805600,4637,63
17031805701,5173,45
17031805702,1807,8
17031805801,2406,39
17031805802,4980,58
17031805901,3874,139
17031805902,6484,50
17031806001,5264,423
17031806002,7717,342
17031806003,7743,276
17031806004,7459,699
17031806102,3985,72
17031806103,5320,15
17031806104,4576,232
17031806201,3970,484
17031806202,4803,297
17031806300,4580,107
17031806400,2258,112
17031806501,2547,135
17031806502,4194,29
17031806600,3362,42
17031806700,4395,59
17031806801,3701,92
17031806802,2900,191
17031806900,4558,348
17031807000,5771,318
17031807100,3903,78
17031807200,5842,176
17031807300,6826,452
17031807400,6898,554
17031807500,3067,22
17031807600,6344,194
17031807700,6171,391
17031807800,2654,57
17031807900,4065,0
17031808001,3658,49
17031808002,4699,334
17031808100,3464,412
17031808200,5465,179
17031808301,5619,276
17031808302,3674,144
17031808400,4432,126
17031808500,4041,98
17031808600,2044,34
17031808702,5445,198
17031808800,3837,67
17031808900,4153,31
17031809000,3912,368
17031809100,3694,209
17031809200,4827,604
17031809300,4433,950
17031809400,4548,968
17031809500,3491,396
17031809600,3888,154
17031809700,3842,261
17031809800,2819,117
17031809900,2890,169
17031810000,5030,330
17031810100,4109,408
17031810200,5751,563
17031810301,3870,216
17031810302,3341,18
17031810400,5254,57
17031810501,5227,299
17031810502,5347,535
17031810600,4301,255
17031810701,5021,458
17031810702,4158,232
17031810800,5023,72
17031810900,6222,513
17031811000,4286,121
17031811100,6065,176
17031811200,5635,92
17031811301,4880,179
17031811302,3641,262
17031811401,5072,346
17031811402,4385,130
17031811500,5732,241
17031811600,5825,298
17031811701,4275,318
17031811702,5076,248
17031811800,5310,186
17031811900,5750,42
17031812000,5416,146
17031812100,4740,183
17031812200,3839,0
17031812301,3524,616
17031812302,2591,61
17031812400,3578,138
17031812500,4127,483
17031812600,3419,420
17031812700,3088,464
17031812801,2951,565
17031812802,2608,525
17031812900,4569,216
17031813000,3912,69
17031813100,4589,499
17031813200,3891,124
17031813301,3458,255
17031813302,3976,309
17031813400,7962,517
17031813500,8358,343
17031813600,4810,160
17031813701,3874,327
17031813702,3395,213
17031813801,2717,166
17031813802,5152,390
17031813900,6676,214
17031814000,4084,255
17031814100,4732,361
17031814200,7075,633
17031814300,4912,307
17031814400,7203,387
17031814500,4948,119
17031814600,5547,335
17031814700,6104,316
17031814800,6347,453
17031814900,5583,411
17031815000,3446,145
17031815100,4347,168
17031815200,6775,311
17031815300,3912,116
17031815400,5514,458
17031815500,8009,189
17031815600,4930,406
17031815701,3903,54
17031815702,4952,83
17031815800,1601,44
17031815900,4759,472
17031816000,3250,345
17031816100,6273,427
17031816200,4199,216
17031816300,4804,72
17031816401,5185,404
17031816402,4068,152
17031816500,4210,278
17031816600,4642,113
17031816700,2815,77
17031816800,5325,327
17031816900,6032,186
17031817000,5075,448
17031817101,4912,471
17031817102,3055,10
17031817200,4645,376
17031817300,2540,68
17031817400,4079,270
17031817500,3676,516
17031817600,3941,639
17031817700,5457,167
17031817900,6018,187
17031818000,4189,53
17031818100,2029,30
17031818200,4437,90
17031818300,6130,590
17031818401,3725,72
17031818402,2831,42
17031818500,5603,109
17031818600,4842,300
17031818700,3324,72
17031818800,5735,222
17031818900,4191,58
17031819000,4795,183
17031819100,4321,265
17031819200,6101,151
17031819300,2748,67
17031819400,5399,126
17031819500,2926,324
17031819600,4222,10
17031819700,6152,81
17031819801,5172,59
17031819802,2788,72
17031819900,3307,40
17031820000,1986,0
17031820101,7071,204
17031820103,3918,231
17031820104,3624,139
17031820201,7747,170
17031820202,4003,172
17031820300,4815,120
17031820400,6050,361
17031820501,6173,55
17031820502,4791,371
17031820603,5189,52
17031820604,3700,118
17031820605,4364,355
17031820606,3533,154
17031820700,6608,477
17031820800,3749,90
17031820901,5101,273
17031820902,4936,79
17031821001,5178,42
17031821002,5657,135
17031821101,4426,54
17031821102,4306,123
17031821200,5603,381
17031821300,5677,308
17031821401,3418,281
17031821402,3775,209
17031821500,2352,471
17031821600,4744,286
17031821700,4487,227
17031821800,5475,217
17031821900,5109,196
17031822000,4324,154
17031822101,4350,87
17031822102,4451,167
17031822200,3693,48
17031822301,3550,105
17031822302,4131,226
17031822400,6116,312
17031822500,4462,94
17031822601,4361,80
17031822602,6262,373
17031822701,4374,360
17031822702,3641,281
17031822801,3762,107
17031822802,3553,139
17031822900,2021,34
17031823001,6646,144
17031823002,6115,131
17031823101,4367,144
17031823102,3638,126
17031823200,5418,170
17031823302,5906,190
17031823303,4296,218
17031823304,5599,406
17031823400,4884,128
17031823500,4961,307
17031823602,6183,131
17031823603,2192,440
17031823604,3657,76
17031823605,4225,68
17031823702,6584,129
17031823703,7435,462
17031823704,3954,117
17031823705,4901,207
17031823801,5482,141
17031823803,6896,49
17031823805,2586,67
17031823806,3739,145
17031823901,3508,114
17031823903,4614,100
17031823904,4132,82
17031824003,5519,159
17031824004,5303,199
17031824005,5602,49
17031824006,3923,57
17031824105,6630,163
17031824106,7038,33
17031824107,6711,149
17031824108,7630,144
17031824113,6627,107
17031824114,4680,111
17031824115,3411,47
17031824116,4502,85
17031824117,8976,153
17031824119,5737,74
17031824120,8492,143
17031824121,3321,23
17031824122,6110,102
17031824123,7980,51
17031824300,4848,632
17031824400,2231,282
17031824503,6547,177
17031824505,6813,118
17031824506,7531,152
17031824507,4206,96
17031824601,4122,51
17031824602,6517,193
17031824701,3761,33
17031824702,6130,142
17031824800,7148,75
17031824900,2939,30
17031825000,4891,238
17031825200,1901,68
17031825302,6108,132
17031825303,3799,137
17031825304,3834,71
17031825400,6022,358
17031825501,5902,461
17031825503,6569,110
17031825504,3806,169
17031825505,5170,50
17031825600,5610,738
17031825700,4188,138
17031825801,4009,305
17031825802,5592,199
17031825803,5592,405
17031825900,3179,88
17031826000,3375,424
17031826100,6434,258
17031826201,3618,509
17031826202,5555,400
17031826301,3938,589
17031826303,3798,7
17031826304,3350,243
17031826401,4713,230
17031826402,5221,309
17031826500,6349,566
17031826600,5703,805
17031826700,5481,1122
17031826800,5038,480
17031826901,1803,419
17031826902,1586,84
17031827000,3204,500
17031827100,2763,283
17031827200,4520,275
17031827300,3323,505
17031827400,4756,687
17031827500,5446,489
17031827600,3559,52
17031827700,2918,212
17031827801,5438,412
17031827802,3032,8
17031827804,2843,36
17031827805,2856,40
17031827901,2528,11
17031827902,4067,105
17031828000,4960,224
17031828100,4744,279
17031828201,4818,200
17031828202,4463,171
17031828300,3218,114
17031828401,3618,14
17031828402,3977,382
17031828503,4624,221
17031828504,5950,309
17031828505,6129,84
17031828506,9033,217
17031828601,4165,64
17031828602,4570,28
17031828701,3801,124
17031828702,4891,24
17031828801,5296,197
17031828802,3270,75
17031828900,3936,239
17031829000,1793,450
17031829100,3321,631
17031829200,5903,89
17031829301,4076,336
17031829302,3737,369
17031829401,1483,122
17031829402,3379,206
17031829500,4073,248
17031829600,2848,11
17031829700,4206,495
17031829800,6550,57
17031829901,8607,96
17031829902,6353,40
17031830001,2005,112
17031830003,7624,305
17031830004,6406,156
17031830005,3925,179
17031830006,2461,162
17031830007,4460,148
17031830008,4735,34
17031830100,3510,83
17031830201,5099,625
17031830202,3646,57
17031830300,4578,549
17031830400,4343,163
17031830500,4489,317
17031830600,4651,914
17031830700,3044,1250
17031830800,2202,449
17031830900,2854,471
17031831000,2242,96
17031831100,6959,842
17031831200,4931,464
17031831300,1282,127
17031831400,3218,610
17031831500,4095,195
17031831600,6848,624
17031831700,2577,128
17031831800,7199,327
17031831900,2908,463
17031832000,2057,193
17031832100,3505,995
17031832200,3137,196
17031832300,2316,97
17031832400,3831,449
17031832500,3507,661
17031832600,4053,493
17031832900,2392,503
17031833000,2970,258
17031833100,6057,569
17031833300,1923,345
17031833900,2285,696
17031834000,3572,511
17031834200,4832,806
17031834300,6404,898
17031834400,3008,712
17031834500,1495,538
17031834600,4012,1579
17031834700,2477,958
17031834800,2194,603
17031834900,2444,1094
17031835000,5996,1337
17031835100,5629,358
17031835200,1697,74
17031835500,1886,710
17031835600,1174,419
17031835700,0,0
17031835800,1389,260
17031835900,3110,831
17031836000,2225,495
17031836100,1849,458
17031836200,1256,56
17031836300,1176,329
17031836400,3223,882
17031836500,1661,1042
17031836600,3053,888
17031836700,2695,1299
17031836800,2644,915
17031836900,1583,306
17031837000,2229,752
17031837100,2052,656
17031837300,2257,628
17031837400,1827,393
17031837800,2654,501
17031838000,2664,810
17031838100,1866,587
17031838200,1495,93
17031838300,1300,494
17031838600,1612,601
17031838700,3742,1186
17031838800,3239,685
17031839000,5499,1316
17031839100,2962,1266
17031839200,2438,699
17031839500,1658,493
17031839600,1903,458
17031839700,4989,798
17031839800,3016,364
17031839900,3529,390
17031840000,2631,246
17031840100,2716,356
17031840200,2084,301
17031840300,4085,515
17031840400,3251,452
17031840700,2914,713
17031840800,3386,471
17031841000,937,444
17031841100,6970,1555
17031841200,4946,771
17031841300,5097,1278
17031841400,1326,452
17031841500,2342,1146
17031841600,1051,38
17031841700,1154,348
17031841800,3186,754
17031841900,5077,123
17031842000,3438,224
17031842100,5824,1399
17031842200,2662,902
17031842300,2850,340
17031842400,3766,839
17031842500,2603,1292
17031842600,4365,523
17031842800,7542,527
17031842900,2477,1001
17031843000,2998,1242
17031843100,2466,886
17031843200,2780,568
17031843300,1439,446
17031843400,1536,183
17031843500,12219,81
17031843600,2970,1407
17031843700,1979,239
17031843800,2107,300
17031843900,3360,798
17031980000,0,0
17031980100,0,0
17031990000,0,0
17033880100,2922,97
17033880200,3332,74
17033880300,3671,104
17033880400,4131,105
17033880500,2565,51
17033880600,3243,101
17035972400,3481,43
17035972500,3395,167
17035972600,4197,110
17037000100,6812,42
17037000200,4754,46
17037000300,2317,49
17037000400,8198,49
17037000500,3798,64
17037000600,6024,334
17037000700,4050,60
17037000800,7030,205
17037000900,4988,22
17037001001,5727,888
17037001002,5358,286
17037001300,5637,461
17037001400,6110,28
17037001500,3747,137
17037001600,4221,44
17037001700,3378,23
17037001800,4119,121
17037001900,2566,21
17037002000,5016,30
17037002100,2454,89
17037002200,7722,53
17039971400,2685,46
17039971500,2515,5
17039971600,3899,65
17039971700,3486,134
17039971800,4087,107
17041952000,2513,39
17041952100,4140,139
17041952200,4387,91
17041952300,5259,1416
17041952400,3713,211
17043840000,3026,49
17043840101,5480,86
17043840102,4676,39
17043840103,6636,61
17043840104,6637,246
17043840201,5895,27
17043840202,5021,37
17043840303,3366,62
17043840304,4526,134
17043840600,4582,90
17043840703,3664,58
17043840704,3320,208
17043840705,3459,93
17043840706,3672,9
17043840801,3128,221
17043840802,5465,176
17043840901,3377,103
17043840904,3972,104
17043840906,2832,63
17043840907,4606,84
17043840908,4622,113
17043840910,5553,112
17043840911,3007,36
17043841002,3130,41
17043841003,3447,54
17043841004,3341,39
17043841102,5957,173
17043841103,3862,9
17043841104,4301,55
17043841108,4542,93
17043841109,4138,164
17043841110,3562,22
17043841111,3815,167
17043841112,3091,0
17043841113,3505,97
17043841114,3832,15
17043841204,6073,136
17043841205,4680,35
17043841206,5426,157
17043841207,3517,0
17043841208,4843,0
17043841209,4279,108
17043841210,4132,197
17043841307,6349,30
17043841308,4315,90
17043841310,3804,44
17043841312,3596,13
17043841313,2841,117
17043841314,6335,31
17043841315,3651,50
17043841316,3690,0
17043841318,2571,0
17043841320,2764,0
17043841321,2546,120
17043841322,4371,40
17043841323,2828,11
17043841324,2849,0
17043841325,6033,24
17043841326,2932,0
17043841327,4437,0
17043841401,6642,40
17043841403,3698,41
17043841404,3015,15
17043841501,6537,141
17043841503,3558,21
17043841504,2827,58
17043841603,4544,130
17043841604,4405,41
17043841605,3942,11
17043841606,2149,25
17043841607,4566,17
17043841703,7030,668
17043841704,4510,150
17043841705,5435,172
17043841706,3748,72
17043841801,4942,20
17043841802,4946,73
17043841901,2310,0
17043841902,4064,40
17043842000,4428,0
17043842100,6057,202
17043842200,5107,91
17043842300,3743,20
17043842400,5030,217
17043842500,2719,39
17043842601,4785,64
17043842602,4772,44
17043842603,4585,109
17043842604,4150,440
17043842605,4028,9
17043842702,4654,125
17043842703,4146,46
17043842704,5017,131
17043842706,4587,63
17043842708,2523,29
17043842709,3351,66
17043842710,3189,32
17043842711,3e3,203
17043842800,4488,81
17043842900,5498,183
17043843000,3941,120
17043843100,4027,393
17043843200,5131,122
17043843301,3791,12
17043843302,2821,35
17043843400,3508,50
17043843500,5478,122
17043843601,3012,55
17043843602,3066,48
17043843700,4853,82
17043843800,3925,176
17043843900,4125,10
17043844001,3611,40
17043844002,4254,14
17043844100,3691,9
17043844201,6279,112
17043844202,2567,48
17043844301,5878,94
17043844304,3814,69
17043844305,4017,474
17043844306,4397,44
17043844307,3175,84
17043844401,3459,90
17043844402,5155,128
17043844501,3952,45
17043844502,3143,225
17043844601,3582,264
17043844602,4665,186
17043844701,4272,109
17043844702,5589,130
17043844801,4035,0
17043844802,3325,65
17043844901,3422,216
17043844902,4317,175
17043845000,5329,205
17043845100,6539,159
17043845200,4727,58
17043845300,3327,85
17043845401,3176,29
17043845402,3156,0
17043845502,5111,203
17043845505,3774,156
17043845506,3986,173
17043845507,3527,26
17043845508,3833,181
17043845509,3489,0
17043845510,3350,0
17043845601,4208,99
17043845602,4290,146
17043845701,3924,88
17043845702,5015,40
17043845703,4887,165
17043845704,4446,62
17043845802,3749,35
17043845803,5240,30
17043845805,3735,15
17043845807,6087,111
17043845808,3435,16
17043845809,3956,42
17043845810,4180,65
17043845811,3592,23
17043845901,3506,29
17043845902,3967,95
17043846002,4506,185
17043846003,3800,48
17043846004,3519,270
17043846102,4468,88
17043846103,5606,88
17043846104,4254,111
17043846105,3436,0
17043846106,3732,91
17043846201,5755,128
17043846202,5330,28
17043846203,4118,0
17043846205,3861,0
17043846206,4337,47
17043846207,5748,28
17043846208,3300,0
17043846209,3280,79
17043846304,6561,58
17043846305,5705,114
17043846307,4500,126
17043846308,3395,81
17043846310,4350,267
17043846311,5715,96
17043846312,4228,152
17043846313,5140,15
17043846314,3398,0
17043846315,4073,34
17043846404,6416,268
17043846405,3705,182
17043846408,3833,14
17043846409,4263,0
17043846410,4752,159
17043846411,4047,48
17043846412,4488,48
17043846413,3552,87
17043846504,5270,110
17043846507,2957,68
17043846509,3676,47
17043846510,3105,210
17043846511,6485,21
17043846513,2715,48
17043846514,3737,0
17043846515,5437,75
17043846517,5971,18
17043846518,3903,0
17043846519,2855,13
17043846521,5474,97
17043846522,3216,50
17043846523,2620,16
17043846524,4657,97
17043846603,4138,262
17043846604,3984,46
17043846701,3774,101
17043846702,3886,52
17045070100,2609,85
17045070200,2102,21
17045070300,4399,250
17045070400,5603,321
17045070500,4063,46
17047956900,2197,99
17047957000,2204,50
17047957100,2306,202
17049950100,3940,79
17049950200,4833,105
17049950300,4295,77
17049950400,4258,37
17049950500,4131,67
17049950600,5036,126
17049950700,3617,258
17049950800,4122,165
17051950500,3301,37
17051950600,2796,10
17051950700,4263,135
17051950800,3812,100
17051950900,2087,108
17051951000,2352,156
17051951100,3396,19
17053961600,1943,5
17053961700,2244,45
17053961800,4454,58
17053961900,1960,58
17053962000,3512,171
17055040100,3047,87
17055040200,2937,93
17055040300,3038,56
17055040400,3918,153
17055040500,2938,212
17055040600,3127,114
17055040700,4347,358
17055040800,3152,62
17055040900,3045,225
17055041000,2586,322
17055041100,3722,24
17055041200,3671,80
17057952800,2690,69
17057952900,2901,55
17057953000,2400,86
17057953100,2844,55
17057953200,2912,78
17057953300,3581,56
17057953400,2254,134
17057953500,5221,108
17057953600,4247,239
17057953700,2462,58
17057953800,2788,96
17057953900,2905,84
17059972700,2730,91
17059972800,3043,114
17061973600,3616,116
17061973700,2071,45
17061973800,2048,25
17061973900,2515,199
17061974000,3733,86
17063000102,6959,65
17063000103,5471,28
17063000200,6376,195
17063000300,3516,226
17063000400,5526,231
17063000500,3052,68
17063000600,2922,66
17063000700,6235,140
17063000800,5065,207
17063000900,3622,53
17065973100,3036,168
17065973200,2534,26
17065973300,2883,12
17067953700,2543,7
17067953800,2741,73
17067953900,2094,21
17067954000,2305,87
17067954100,3213,35
17067954200,2665,98
17067954300,3666,99
17069970900,2445,145
17069971000,1957,56
17071973300,2350,152
17071973400,1794,41
17071973500,3318,105
17073030100,5768,313
17073030201,4509,44
17073030202,4162,87
17073030203,4267,46
17073030300,7060,141
17073030400,2528,85
17073030500,2532,26
17073030600,2973,118
17073030800,3557,305
17073030900,3656,231
17073031000,3702,401
17073031100,2777,117
17073031200,2986,45
17075950100,2897,35
17075950200,3993,26
17075950300,4272,40
17075950400,3928,469
17075950500,4055,134
17075950600,3463,152
17075950700,2555,20
17075950800,2473,35
17075950900,2432,67
17077010100,3429,97
17077010200,4082,111
17077010300,3189,152
17077010400,4272,103
17077010600,6070,147
17077010700,3332,549
17077010800,3722,318
17077010900,2462,85
17077011000,6555,242
17077011100,2986,554
17077011200,4924,860
17077011400,3075,206
17077011600,3864,66
17077011700,7902,199
17079977300,2912,45
17079977400,2877,110
17079977500,3963,61
17081050100,4008,144
17081050200,3237,159
17081050300,4391,110
17081050400,5475,189
17081050500,3656,263
17081050600,3263,55
17081050700,4110,489
17081050800,4375,111
17081050900,2722,229
17081051000,1200,379
17081051100,2765,285
17083010100,5152,200
17083010200,3559,18
17083010300,4369,8
17083010401,6204,150
17083010402,2129,0
17083010500,1519,8
17085020100,4344,77
17085020200,4883,207
17085020300,4787,179
17085020401,1993,28
17085020402,3343,198
17085020500,3378,76
17087977600,4993,46
17087977700,2333,34
17087977800,3707,172
17087980000,1677,0
17089850101,6207,11
17089850103,5266,39
17089850105,6709,111
17089850106,8771,26
17089850201,4058,71
17089850202,6815,119
17089850301,7028,718
17089850302,5200,141
17089850400,2471,70
17089850500,3259,52
17089850600,7430,27
17089850701,16663,62
17089850702,12334,189
17089850703,2350,0
17089850800,7401,106
17089851000,6269,299
17089851101,4442,90
17089851102,3834,79
17089851301,4591,518
17089851302,3433,0
17089851400,7377,285
17089851500,1129,83
17089851600,5995,587
17089851801,7543,40
17089851904,7371,93
17089851905,10450,96
17089851907,7950,0
17089851908,5104,47
17089851909,4069,149
17089851910,3941,98
17089852001,3702,24
17089852002,6991,127
17089852003,7922,263
17089852101,7019,128
17089852102,8827,39
17089852201,4973,92
17089852202,8845,129
17089852300,1717,172
17089852401,8239,52
17089852402,8286,52
17089852403,5452,14
17089852500,6875,45
17089852601,7041,61
17089852606,4640,118
17089852700,7086,70
17089852803,5261,452
17089852805,5197,44
17089852806,7048,64
17089852807,3273,0
17089852808,6978,95
17089852903,5584,74
17089852904,2637,150
17089852905,5034,434
17089852906,4738,179
17089852907,6182,389
17089853001,2911,0
17089853004,2944,225
17089853005,6499,340
17089853006,3614,114
17089853007,7226,400
17089853008,4383,21
17089853100,3081,125
17089853200,6904,800
17089853300,4330,469
17089853400,8662,462
17089853500,5649,38
17089853600,7276,310
17089853900,6129,281
17089854001,4858,182
17089854002,5829,580
17089854100,4845,175
17089854200,6073,155
17089854301,6510,452
17089854302,4207,33
17089854400,14034,650
17089854501,13867,187
17089854503,10842,58
17089854504,7053,13
17089854600,3712,256
17089854700,2530,141
17089854800,7779,33
17089854900,5874,446
17091010100,2550,44
17091010201,2030,0
17091010202,9832,445
17091010300,3577,14
17091010400,4939,55
17091010500,7052,68
17091010601,4963,106
17091010602,5564,179
17091010701,3962,76
17091010702,7718,182
17091010800,3647,199
17091010900,4652,54
17091011000,2059,285
17091011100,1989,64
17091011200,2179,18
17091011300,2291,17
17091011400,1785,668
17091011500,2456,426
17091011600,1811,153
17091011700,3362,564
17091011800,2584,177
17091011900,1602,25
17091012000,5145,315
17091012100,3286,229
17091012200,3174,110
17091012300,5748,629
17091012400,4973,283
17091012500,2213,103
17091012600,4957,89
17093890101,15034,257
17093890102,12639,243
17093890201,4272,9
17093890202,3120,64
17093890301,6172,72
17093890302,6247,237
17093890400,23270,227
17093890500,12310,199
17093890600,9258,132
17093890700,13280,68
17095000100,3362,32
17095000200,3094,89
17095000300,4004,182
17095000400,4564,315
17095000500,5815,255
17095000600,3734,101
17095000700,2451,90
17095000800,2991,446
17095000900,2241,208
17095001000,4074,338
17095001100,2629,217
17095001200,1464,32
17095001300,3676,167
17095001400,1561,0
17095001500,4016,133
17095001600,3256,59
17097860101,8922,314
17097860103,3440,52
17097860104,3370,27
17097860200,3628,150
17097860301,3058,310
17097860302,3061,159
17097860400,5281,141
17097860500,5506,188
17097860600,6862,131
17097860805,1834,45
17097860806,4977,72
17097860807,3364,66
17097860808,2814,16
17097860809,2956,27
17097860810,6459,239
17097860811,4485,77
17097860903,6183,115
17097860904,5987,63
17097860905,5243,276
17097860906,7617,62
17097861007,4418,24
17097861008,5137,159
17097861009,5041,87
17097861010,5549,76
17097861011,7533,0
17097861012,5091,210
17097861013,2855,21
17097861014,3784,0
17097861105,4139,89
17097861106,8341,26
17097861107,4375,48
17097861108,6045,101
17097861201,7385,259
17097861202,4157,72
17097861301,4623,158
17097861303,4811,75
17097861304,3606,58
17097861402,7770,68
17097861403,2699,57
17097861404,5718,38
17097861504,7883,197
17097861505,3568,10
17097861506,5062,107
17097861507,3118,100
17097861508,3852,126
17097861509,3466,106
17097861510,5225,108
17097861603,6193,102
17097861604,5535,29
17097861607,4217,27
17097861608,3428,106
17097861609,4594,21
17097861610,3637,14
17097861611,4538,26
17097861701,2242,12
17097861702,4368,195
17097861803,7198,229
17097861804,3679,334
17097861901,3670,127
17097861902,5875,315
17097862000,6316,293
17097862100,5206,287
17097862200,4350,448
17097862300,2687,386
17097862401,3555,470
17097862402,2954,252
17097862501,4410,366
17097862502,2514,32
17097862603,6646,150
17097862604,5060,121
17097862605,4577,787
17097862700,4055,476
17097862800,2227,178
17097862901,3455,237
17097862902,2924,248
17097863003,11034,0
17097863004,4858,48
17097863005,55,0
17097863006,0,0
17097863100,3331,314
17097863201,3583,43
17097863202,5132,122
17097863300,2877,0
17097863400,4411,16
17097863500,4217,113
17097863601,3727,0
17097863603,3726,0
17097863604,3043,68
17097863701,4876,102
17097863702,3841,64
17097863801,4406,300
17097863902,5012,419
17097863903,4719,12
17097863904,5617,0
17097864001,6338,96
17097864002,6028,99
17097864101,10161,196
17097864105,5466,66
17097864106,4256,79
17097864107,5159,76
17097864108,5859,101
